union_id,union_name_ar,union_name_en,member_registry_id,member_municipality_id,member_municipality_key,member_municipality_name_en,member_municipality_name_ar,district_en,governorate_en,source_id,source_url,confidence,verification_status,last_checked,notes
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50201,50201,ainab,Ainab,عيناب,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50201.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50021,50021,al_bneyeh,Al Bneyeh,البنية,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50021.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-49949,49949,al_bsatin,Al Bsatin,البساتين,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-49949.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50030,50030,baysour,Baysour,بيصور,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50030.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50048,50048,dfoun,Dfoun,دفون,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50048.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50318,50318,kaifun,Kaifun,كيفون,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50318.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50309,50309,kfarmatta,Kfarmatta,كفرمتى,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50309.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50336,50336,majdlaya,Majdlaya,مجدلايا,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50336.
UNI-001,,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,MUN-DGLAC-50084,50084,remhala,Remhala,رمحالا,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50084.
UNI-002,,Federation of Municipalities of Jourd Al-Ala-Bhamdoun,MUN-DGLAC-50354,50354,al_mansouriya_ain_al_marj,Al Mansouriya Ain al Marj,المنصورية عين المرج,Aalay,Mount Lebanon,SRC-DGLAC-MUNI-FEDS,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,2026-05-30,DGLAC row-level materialization from municipality_unions.csv on 2026-06-02. union_membership_token=MUN-DGLAC-50354.
