uuid,global_row,source_file,current_label,decision,final_label,reviewer_note,source_arabizi
c40ea6b7-94cc-4cae-bf8d-379cd2fd43a6,497,cidarfix_v29_batch8_train.jsonl,OTHER/not_municipal,POLITICAL,OTHER/political_statement,,leha shefnekon bwizaret l kahraba leh ma shefna mi2ati mnu mn kl l siyesiyin aw kif leh hl za3rane mabsutin e7tilel nshalla bteklu atel la tfarmu
5072c1cc-dcb3-48d7-818a-4034f93bacae,1164,cidarfix_v29_batch8_train.jsonl,OTHER/not_municipal,NOT_MUN,OTHER/not_municipal,,kel el khabrie yewa2fo mafia 2as7ab el motor ma3 mafia cherket el kahraba w tezbat el kahraba 3ana be lebnen
1064231b-24bd-4e8c-9718-8776b4fc44f8,1544,cidarfix_v29_batch8_train.jsonl,OTHER/not_municipal,NOT_MUN,OTHER/not_municipal,,3anjad bye bye wattan ento kharabto hal balad nchala tedfa3o kahraba 10 marat wetmouto men jou3 eza ra7 dalkon ghechem hal ad
50566c46-265d-46ba-8b09-238f2e823190,1741,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,POLITICAL,OTHER/political_statement,,ya jame3a ana ra2ye bikafe hezeb 3am y2adem dam w chohada w yehme hal balad men israel w da3ech w nosra w 5ale 8ayro yale e3din bel solta hene y2amno kahraba w may mech kel chi badna nzeto 3al hezeb
73a1e8f7-4978-4e9a-b4ab-f7c6d99df9f9,2671,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,NOT_MUN,OTHER/not_municipal,,khalle ykoun chi wa7ad m3attar fa2ir 3ley fatouret kahraba aw telefone b 20000 lira bye2ta3oulo ichtirako bas 7iten l amwel bye3fouwon mech ray7a 2ella 3al cha3b l fa2ir ma3 hal mas2oulin l re3tir tosba7o 3ala watan
50566c46-265d-46ba-8b09-238f2e823190,5257,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,POLITICAL,OTHER/political_statement,,ya jame3a ana ra2ye bikafe hezeb 3am y2adem dam w chohada w yehme hal balad men israel w da3ech w nosra w 5ale 8ayro yale e3din bel solta hene y2amno kahraba w may mech kel chi badna nzeto 3al hezeb
6ec5f626-777c-4bfd-ac9c-ea19fec8ddfc,8576,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,NOT_MUN,OTHER/not_municipal,,ehhhhh heik ma fi chak kel l wizaret l itisalet waw wel kahraba 3am na3ti l dewal l moujewira sorna shou badik bil 7ake ahhh ya habile
6b451918-65c7-4aa2-a771-394bc4583ee7,10943,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,NOT_MUN,OTHER/not_municipal,,ba3rif eno we deserve it ba3rif eno mberi7 kenet 3am 2ul la ahle eno bede sefir w erfen 7ayete b hal balad ba3rif eno ma fi kahraba wala may wala daman wala mouwasalet wala che8el
b426f1e9-d519-4a14-9a52-b6f8a9c4712f,14892,cidarfix_v29_batch8_train.jsonl,OTHER/insufficient_info,NOT_MUN,OTHER/not_municipal,,aret 7aki la anno el mafia rekbi bayn el mas2oulin wel baladiyyet w as7ab el moteret akid ma fi kahraba 24 24 bala ma ne7lam balad te3tir
a1d84165-5123-4754-87f1-13d3d7b8eb99,19265,cidarfix_v29_batch8_train.jsonl,ELECTRICITY/insufficient_info,NOT_MUN,OTHER/not_municipal,,wlik ya chabeib ya lebnenyeh ma titkhana2o ma3 ba3d kirmeil za3im w siyeiseh hala2 bikouno aw 3al telephone aw 3abyit3acho sawa bil ac li zbeileh akalitna w motor ra7 yto2 w bala kahraba w hinneh bil cravate wake up pp
1c1215b9-c796-47c5-a7b7-552239441dc2,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",ELECTRICITY/insufficient_info,OTHER/political_statement,bass lfekra lwa7ad law adam 3ayelto kella wana 3eyich bl 5ara wbala kahraba wlak 7ata lhawa naza3ou fa chou lnafe3 wbe3tezir mennak bass eza za3im adam ebno fi 3iyal ktiirr metit wness ktir stach hadit feda lwatan w waynene hala2
cd24fdd9-51f5-4a2f-a1b0-4083035caf8a,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",ELECTRICITY/insufficient_info,OTHER/political_statement,jablo tiyyara b malyoun dollar w ne7na ma 3enna kahraba (ps ana mesh ma3 wala 7ezeb siyese cz habile li byel7a2 za3im w3ou ya hebel )
2cb7b9f5-09bf-440c-89d1-7337afd67a63,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",OTHER/insufficient_info,OTHER/political_statement,mitl ma l zibali nawjode b shwari3 l kahraba ma 3m tije eila sa3tan ma bas wizarit l biea kol l wizarat izza bitrido ahsan ma yser fi kalam tani
2cb7b9f5-09bf-440c-89d1-7337afd67a63,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",OTHER/insufficient_info,OTHER/political_statement,mitl ma l zibali nawjode b shwari3 l kahraba ma 3m tije eila sa3tan ma bas wizarit l biea kol l wizarat izza bitrido ahsan ma yser fi kalam tani
c589d549-4703-4c0b-87ba-912b2b211b31,NOT_MUN,"auto-decided: political demand/venting, no specific locatable infra event",ELECTRICITY/insufficient_info,OTHER/not_municipal,badal ma y7awlo hal zbele la ta2a badal hal kahraba tdall ten2ute3 bemardo sha3bon la khalsein men l ri7a wala l microb yalle 3am tmardune feih dawle feshle w sha3eb efshal 7aj te7ko albna men l 7amed lewe
1c1215b9-c796-47c5-a7b7-552239441dc2,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",ELECTRICITY/insufficient_info,OTHER/political_statement,bass lfekra lwa7ad law adam 3ayelto kella wana 3eyich bl 5ara wbala kahraba wlak 7ata lhawa naza3ou fa chou lnafe3 wbe3tezir mennak bass eza za3im adam ebno fi 3iyal ktiirr metit wness ktir stach hadit feda lwatan w waynene hala2
362e586d-1643-4424-a677-689d94cc020b,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",OTHER/insufficient_info,OTHER/political_statement,3ala kol l wizarat ma bas 3ala wizarit l biea mitl ma fi zbale bil ard kaman ma fi kahraba niso basil sho 3imil wil 3awniye
58cf7415-aee7-41be-8b7b-657a7d2974eb,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",OTHER/not_municipal,OTHER/political_statement,ah ya 2ento aw la ahad lesh lama ento ya tayar nzelto wem kenet kahraba wel may wala bas ka2ed gesh w ra2es sheyfen
362e586d-1643-4424-a677-689d94cc020b,POLITICAL,"auto-decided: political demand/venting, no specific locatable infra event",OTHER/insufficient_info,OTHER/political_statement,3ala kol l wizarat ma bas 3ala wizarit l biea mitl ma fi zbale bil ard kaman ma fi kahraba niso basil sho 3imil wil 3awniye
c589d549-4703-4c0b-87ba-912b2b211b31,NOT_MUN,"auto-decided: political demand/venting, no specific locatable infra event",ELECTRICITY/insufficient_info,OTHER/not_municipal,badal ma y7awlo hal zbele la ta2a badal hal kahraba tdall ten2ute3 bemardo sha3bon la khalsein men l ri7a wala l microb yalle 3am tmardune feih dawle feshle w sha3eb efshal 7aj te7ko albna men l 7amed lewe
