session_id,station_id,space_id,site_id,cluster_id,connection_time,disconnect_time,done_charging,kwh_delivered,user_id,timezone,duration_hr,charge_time_hr,idle_time_hr,arrival_hour,departure_hour,day_of_week,is_weekend,month,year,date,avg_charge_kw
5bc90cb9f9af8b0d7fe77cd2,2-39-78-362,CA-496,0002,0039,2018-04-25 11:08:04+00:00,2018-04-25 13:20:10+00:00,2018-04-25 13:21:10+00:00,7.932,,America/Los_Angeles,2.2016666666666667,2.2183333333333333,-0.016666666666666666,11.13,13.33,2,0,4,2018,2018-04-25,3.576
5bc90cb9f9af8b0d7fe77cd3,2-39-95-27,CA-319,0002,0039,2018-04-25 13:45:10+00:00,2018-04-26 00:56:16+00:00,2018-04-25 16:44:15+00:00,10.013,,America/Los_Angeles,11.185,2.984722222222222,8.200277777777778,13.75,0.93,2,0,4,2018,2018-04-25,3.355
5bc90cb9f9af8b0d7fe77cd4,2-39-79-380,CA-489,0002,0039,2018-04-25 13:45:50+00:00,2018-04-25 23:04:45+00:00,2018-04-25 14:51:44+00:00,5.257,,America/Los_Angeles,9.315277777777778,1.0983333333333334,8.216944444444444,13.75,23.07,2,0,4,2018,2018-04-25,4.786
5bc90cb9f9af8b0d7fe77cd5,2-39-79-379,CA-327,0002,0039,2018-04-25 14:37:06+00:00,2018-04-25 23:55:34+00:00,2018-04-25 16:05:22+00:00,5.177,,America/Los_Angeles,9.307777777777778,1.471111111111111,7.836666666666667,14.62,23.92,2,0,4,2018,2018-04-25,3.519
5bc90cb9f9af8b0d7fe77cd6,2-39-79-381,CA-490,0002,0039,2018-04-25 14:40:34+00:00,2018-04-25 23:03:12+00:00,2018-04-25 17:40:30+00:00,10.119,,America/Los_Angeles,8.377222222222223,2.9988888888888887,5.378333333333333,14.67,23.05,2,0,4,2018,2018-04-25,3.374
5bc90cb9f9af8b0d7fe77cd7,2-39-139-28,CA-303,0002,0039,2018-04-25 14:43:50+00:00,2018-04-26 01:17:30+00:00,2018-04-25 16:18:28+00:00,7.91,,America/Los_Angeles,10.561111111111112,1.5772222222222223,8.983888888888888,14.72,1.28,2,0,4,2018,2018-04-25,5.015
5bc90cb9f9af8b0d7fe77cd8,2-39-91-441,CA-499,0002,0039,2018-04-25 14:47:42+00:00,2018-04-25 18:27:51+00:00,2018-04-25 18:27:42+00:00,15.294,,America/Los_Angeles,3.6691666666666665,3.6666666666666665,0.0025,14.78,18.45,2,0,4,2018,2018-04-25,4.171
5bc90cb9f9af8b0d7fe77cd9,2-39-79-377,CA-325,0002,0039,2018-04-25 14:58:25+00:00,2018-04-25 19:06:29+00:00,2018-04-25 16:48:29+00:00,6.953,,America/Los_Angeles,4.134444444444444,1.8344444444444445,2.3,14.97,19.1,2,0,4,2018,2018-04-25,3.79
5bc90cb9f9af8b0d7fe77cda,2-39-79-382,CA-491,0002,0039,2018-04-25 15:10:52+00:00,2018-04-25 18:15:46+00:00,2018-04-25 16:07:56+00:00,2.174,,America/Los_Angeles,3.0816666666666666,0.9511111111111111,2.1305555555555555,15.17,18.25,2,0,4,2018,2018-04-25,2.286
5bc90cb9f9af8b0d7fe77cdb,2-39-78-362,CA-496,0002,0039,2018-04-25 15:12:11+00:00,2018-04-25 18:29:21+00:00,2018-04-25 18:30:20+00:00,2.439,,America/Los_Angeles,3.286111111111111,3.3025,-0.01638888888888889,15.2,18.48,2,0,4,2018,2018-04-25,0.739
5bc90cb9f9af8b0d7fe77cdc,2-39-78-366,CA-323,0002,0039,2018-04-25 15:14:06+00:00,2018-04-25 18:33:30+00:00,2018-04-25 18:33:20+00:00,6.955,,America/Los_Angeles,3.3233333333333333,3.3205555555555555,0.002777777777777778,15.23,18.55,2,0,4,2018,2018-04-25,2.095
5bc90cb9f9af8b0d7fe77cdd,2-39-91-437,CA-317,0002,0039,2018-04-25 15:14:41+00:00,2018-04-26 02:26:03+00:00,2018-04-25 16:18:11+00:00,3.249,,America/Los_Angeles,11.189444444444444,1.0583333333333333,10.13111111111111,15.23,2.43,2,0,4,2018,2018-04-25,3.07
5bc90cb9f9af8b0d7fe77cde,2-39-78-361,CA-493,0002,0039,2018-04-25 15:14:49+00:00,2018-04-25 23:52:50+00:00,2018-04-25 16:42:00+00:00,2.72,,America/Los_Angeles,8.633611111111112,1.4530555555555555,7.180555555555555,15.23,23.87,2,0,4,2018,2018-04-25,1.872
5bc90cb9f9af8b0d7fe77cdf,2-39-78-360,CA-322,0002,0039,2018-04-25 15:20:56+00:00,2018-04-25 23:49:32+00:00,2018-04-25 16:07:41+00:00,2.575,,America/Los_Angeles,8.476666666666667,0.7791666666666667,7.6975,15.33,23.82,2,0,4,2018,2018-04-25,3.305
5bc90cb9f9af8b0d7fe77ce0,2-39-125-21,CA-311,0002,0039,2018-04-25 15:30:31+00:00,2018-04-25 19:47:51+00:00,2018-04-25 18:54:57+00:00,5.4,,America/Los_Angeles,4.288888888888889,3.4072222222222224,0.8816666666666667,15.5,19.78,2,0,4,2018,2018-04-25,1.585
5bc90cb9f9af8b0d7fe77ce1,2-39-78-365,CA-321,0002,0039,2018-04-25 15:31:42+00:00,2018-04-26 00:57:15+00:00,2018-04-25 18:26:57+00:00,4.929,,America/Los_Angeles,9.425833333333333,2.9208333333333334,6.505,15.52,0.95,2,0,4,2018,2018-04-25,1.688
5bc90cb9f9af8b0d7fe77ce2,2-39-127-19,CA-309,0002,0039,2018-04-25 15:33:45+00:00,2018-04-26 00:42:15+00:00,2018-04-25 17:49:46+00:00,4.043,,America/Los_Angeles,9.141666666666667,2.2669444444444444,6.874722222222222,15.55,0.7,2,0,4,2018,2018-04-25,1.783
5bc90cb9f9af8b0d7fe77ce3,2-39-79-383,CA-492,0002,0039,2018-04-25 15:44:42+00:00,2018-04-26 00:41:45+00:00,2018-04-25 17:40:09+00:00,2.49,,America/Los_Angeles,8.950833333333334,1.9241666666666666,7.026666666666666,15.73,0.68,2,0,4,2018,2018-04-25,1.294
5bc90cb9f9af8b0d7fe77ce4,2-39-89-25,CA-315,0002,0039,2018-04-25 15:48:23+00:00,2018-04-26 00:32:18+00:00,2018-04-25 18:06:06+00:00,5.95,,America/Los_Angeles,8.731944444444444,2.2952777777777778,6.4366666666666665,15.8,0.53,2,0,4,2018,2018-04-25,2.592
5bc90cb9f9af8b0d7fe77ce5,2-39-95-444,CA-497,0002,0039,2018-04-25 15:51:21+00:00,2018-04-26 00:32:44+00:00,2018-04-25 17:56:52+00:00,4.474,,America/Los_Angeles,8.689722222222223,2.0919444444444446,6.597777777777778,15.85,0.53,2,0,4,2018,2018-04-25,2.139
5bc90cb9f9af8b0d7fe77ce6,2-39-124-22,CA-312,0002,0039,2018-04-25 15:53:29+00:00,2018-04-26 00:28:12+00:00,2018-04-25 19:55:15+00:00,6.531,,America/Los_Angeles,8.578611111111112,4.029444444444445,4.549166666666666,15.88,0.47,2,0,4,2018,2018-04-25,1.621
5bc90cb9f9af8b0d7fe77ce7,2-39-89-439,CA-501,0002,0039,2018-04-25 15:57:29+00:00,2018-04-26 01:28:29+00:00,2018-04-25 18:23:12+00:00,6.023,,America/Los_Angeles,9.516666666666667,2.428611111111111,7.088055555555556,15.95,1.47,2,0,4,2018,2018-04-25,2.48
5bc90cb9f9af8b0d7fe77ce8,2-39-92-442,CA-498,0002,0039,2018-04-25 15:59:24+00:00,2018-04-26 00:51:51+00:00,2018-04-25 18:27:10+00:00,9.553,,America/Los_Angeles,8.874166666666667,2.4627777777777777,6.411388888888889,15.98,0.85,2,0,4,2018,2018-04-25,3.879
5bc90cb9f9af8b0d7fe77ce9,2-39-123-23,CA-313,0002,0039,2018-04-25 16:01:26+00:00,2018-04-26 00:33:06+00:00,2018-04-26 00:14:16+00:00,14.693,,America/Los_Angeles,8.527777777777779,8.213888888888889,0.3138888888888889,16.02,0.55,2,0,4,2018,2018-04-25,1.789
5bc90cb9f9af8b0d7fe77cea,2-39-90-440,CA-500,0002,0039,2018-04-25 16:02:03+00:00,2018-04-25 21:31:50+00:00,2018-04-25 17:14:25+00:00,2.207,,America/Los_Angeles,5.496388888888889,1.2061111111111111,4.290277777777778,16.03,21.52,2,0,4,2018,2018-04-25,1.83
5bc90cb9f9af8b0d7fe77ceb,2-39-78-364,CA-495,0002,0039,2018-04-25 16:02:10+00:00,2018-04-25 19:27:55+00:00,2018-04-25 19:27:51+00:00,9.153,,America/Los_Angeles,3.4291666666666667,3.4280555555555554,0.0011111111111111111,16.03,19.45,2,0,4,2018,2018-04-25,2.67
5bc90cb9f9af8b0d7fe77cec,2-39-88-24,CA-314,0002,0039,2018-04-25 16:03:59+00:00,2018-04-25 23:57:15+00:00,2018-04-25 22:19:58+00:00,17.446,,America/Los_Angeles,7.887777777777778,6.266388888888889,1.621388888888889,16.05,23.95,2,0,4,2018,2018-04-25,2.784
5bc90cb9f9af8b0d7fe77ced,2-39-90-26,CA-316,0002,0039,2018-04-25 16:04:31+00:00,2018-04-26 01:42:00+00:00,2018-04-25 18:13:16+00:00,4.548,,America/Los_Angeles,9.624722222222223,2.1458333333333335,7.478888888888889,16.07,1.7,2,0,4,2018,2018-04-25,2.119
5bc90cb9f9af8b0d7fe77cee,2-39-88-438,CA-502,0002,0039,2018-04-25 16:25:51+00:00,2018-04-25 22:30:46+00:00,2018-04-25 22:30:41+00:00,32.708,,America/Los_Angeles,6.081944444444445,6.080555555555556,0.001388888888888889,16.42,22.5,2,0,4,2018,2018-04-25,5.379
5bc90cb9f9af8b0d7fe77cef,2-39-78-363,CA-320,0002,0039,2018-04-25 16:38:01+00:00,2018-04-26 00:00:51+00:00,2018-04-25 18:48:11+00:00,6.764,,America/Los_Angeles,7.3805555555555555,2.1694444444444443,5.211111111111111,16.63,0.0,2,0,4,2018,2018-04-25,3.118
5bc90cb9f9af8b0d7fe77cf0,2-39-79-378,CA-326,0002,0039,2018-04-25 16:52:05+00:00,2018-04-26 01:53:12+00:00,2018-04-25 21:40:57+00:00,10.879,,America/Los_Angeles,9.018611111111111,4.814444444444445,4.204166666666667,16.87,1.88,2,0,4,2018,2018-04-25,2.26
5bc90cb9f9af8b0d7fe77cf1,2-39-123-557,CA-503,0002,0039,2018-04-25 17:06:18+00:00,2018-04-26 02:10:51+00:00,2018-04-25 19:21:33+00:00,5.07,,America/Los_Angeles,9.075833333333334,2.254166666666667,6.821666666666666,17.1,2.17,2,0,4,2018,2018-04-25,2.249
5bc90cb9f9af8b0d7fe77cf3,2-39-78-366,CA-323,0002,0039,2018-04-25 18:47:12+00:00,2018-04-25 19:36:38+00:00,2018-04-25 19:36:31+00:00,2.375,,America/Los_Angeles,0.8238888888888889,0.8219444444444445,0.0019444444444444444,18.78,19.6,2,0,4,2018,2018-04-25,2.889
5bc90cb9f9af8b0d7fe77cf4,2-39-78-362,CA-496,0002,0039,2018-04-25 19:32:05+00:00,2018-04-25 21:46:47+00:00,2018-04-25 21:47:47+00:00,6.523,,America/Los_Angeles,2.245,2.2616666666666667,-0.016666666666666666,19.53,21.77,2,0,4,2018,2018-04-25,2.884
5bc90cb9f9af8b0d7fe77cf5,2-39-78-367,CA-494,0002,0039,2018-04-25 19:33:01+00:00,2018-04-25 23:43:32+00:00,2018-04-25 20:25:58+00:00,2.203,,America/Los_Angeles,4.175277777777778,0.8825,3.292777777777778,19.55,23.72,2,0,4,2018,2018-04-25,2.496
5bc90cb9f9af8b0d7fe77cf6,2-39-91-441,CA-499,0002,0039,2018-04-25 19:40:02+00:00,2018-04-26 00:17:12+00:00,2018-04-25 22:07:12+00:00,7.738,,America/Los_Angeles,4.6194444444444445,2.452777777777778,2.1666666666666665,19.67,0.28,2,0,4,2018,2018-04-25,3.155
5bc90cb9f9af8b0d7fe77cf7,2-39-79-377,CA-325,0002,0039,2018-04-25 19:41:42+00:00,2018-04-26 00:35:28+00:00,2018-04-25 23:12:06+00:00,12.94,,America/Los_Angeles,4.896111111111111,3.506666666666667,1.3894444444444445,19.68,0.58,2,0,4,2018,2018-04-25,3.69
5bc90cb9f9af8b0d7fe77cf8,2-39-78-366,CA-323,0002,0039,2018-04-25 19:43:13+00:00,2018-04-26 00:56:23+00:00,2018-04-26 00:56:17+00:00,14.328,,America/Los_Angeles,5.219444444444444,5.217777777777778,0.0016666666666666668,19.72,0.93,2,0,4,2018,2018-04-25,2.746
5bc90cb9f9af8b0d7fe77cf9,2-39-79-376,CA-324,0002,0039,2018-04-25 20:14:50+00:00,2018-04-25 23:56:33+00:00,2018-04-25 23:28:12+00:00,4.189,,America/Los_Angeles,3.6952777777777777,3.222777777777778,0.4725,20.23,23.93,2,0,4,2018,2018-04-25,1.3
5bc90cb9f9af8b0d7fe77cfa,2-39-125-21,CA-311,0002,0039,2018-04-25 20:30:49+00:00,2018-04-26 02:52:48+00:00,2018-04-25 21:05:52+00:00,0.829,,America/Los_Angeles,6.366388888888889,0.5841666666666666,5.782222222222222,20.5,2.87,2,0,4,2018,2018-04-25,1.419
5bc90cb9f9af8b0d7fe77cfb,2-39-78-362,CA-496,0002,0039,2018-04-25 21:57:42+00:00,2018-04-26 03:06:25+00:00,2018-04-26 03:07:23+00:00,27.743,,America/Los_Angeles,5.145277777777777,5.161388888888889,-0.01611111111111111,21.95,3.1,2,0,4,2018,2018-04-25,5.375
5bc90cb9f9af8b0d7fe77cfc,2-39-90-440,CA-500,0002,0039,2018-04-25 22:17:32+00:00,2018-04-26 02:07:17+00:00,2018-04-26 01:13:17+00:00,12.692,,America/Los_Angeles,3.8291666666666666,2.9291666666666667,0.9,22.28,2.12,2,0,4,2018,2018-04-25,4.333
