review_id,entity_id,action,rank_score,reason,candidate_source_id,existing_source_match,page_kind,title,url,phone_candidates,email_candidates,form_fields,last_checked,notes
WSCR-0001,MEW,already_registered,100,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email;water_signal,SRC-MEW-AR-CONTACT,SRC-MEW-CONTACT,contact,الموقع الرسمي لوزارة الطاقة والمياه,https://www.energyandwater.gov.lb/ar/contact,01/565040;01/449639,minister@energyandwater.gov.lb,hdnRootFldr|hdnRootFldr|hidden;cmbMinistriesSites|cmbMinistriesSites;txtGlobalKeywords|txtGlobalKeywords|البحث|text;hdnCategoryId|hidden;txtFirstName|txtFirstName|الاسم*|text;txtLastName|txtLastName|اسم العائلة*|text;txtEmail|txtEmail|البريد الإلكتروني|email;txtPhone|txtPhone|هاتف*|tel;txtSubject|txtSubject|الموضوع *|text;txtMessage|txtMessage|الرسالة*,2026-05-31,
WSCR-0002,SLWE,already_registered,90,kind=contact;has_meaningful_form_fields;has_contextual_phone;water_signal,SRC-SLWE-CONTACT,SRC-SLWE-CONTACT,contact,"مؤسسة مياه لبنان الجنوبي | slwe, lebanon, south lebanon water establishment, water, الجنوب, وزارة الطاقة",https://www.slwe.gov.lb/contact.php?lang=ar,1785;07-757000;07-420206;07-781725;07-530018;07-450006;07-830016;07-740196,,hdnRootFldr|hdnRootFldr|hidden;txtGlobalKeywords|txtGlobalKeywords|البحث|text;hdnCategoryId|hidden;txtFirstName|txtFirstName|الاسم*|text;txtLastName|txtLastName|اسم العائلة*|text;txtEmail|txtEmail|البريد الإلكتروني|email;txtPhone|txtPhone|هاتف*|tel;txtSubject|txtSubject|الموضوع *|text;txtMessage|txtMessage|الرسالة*,2026-05-31,
WSCR-0003,BMLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-BMLWE-CONTACT,SRC-BMLWE-CONTACT,contact,EBML | Contact Us,https://ebml.gov.lb/contactus.php?lang=en,1713;+961 1 386 760,info@ebml.gov.lb,fname|Name*|text;lname|Family Name*|text;phone|Phone Number*|text;address|Address*|text;country|Country*|text;gender|Gender*|text;email|Email*|text;message|Your Message;submit|submit;email|Email Address|text;full_name|Full Name|text;title|Title|text;formid|hidden;location|hidden;t|hidden;act|hidden,2026-05-31,
WSCR-0004,BMLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-BMLWE-CONTACTUS-PHP,SRC-BMLWE-CONTACT,contact,EBML | Contact Us,https://ebml.gov.lb/contactus.php?lang=en&lang=ar,1713,info@ebml.gov.lb,fname|اسم*|text;lname|اسم العائلة*|text;phone|رقم الهاتف*|text;address|عنوان*|text;country|بلد*|text;gender|الجنس*|text;email|البريد الإلكتروني*|text;message|رسالتك;submit|submit;email|عنوان البريد الإلكتروني|text;full_name|الاسم الكامل|text;title|عنوان|text;formid|hidden;location|hidden;t|hidden;act|hidden,2026-05-31,
WSCR-0005,BMLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-BMLWE-CONTACTUS-PHP,SRC-BMLWE-CONTACT,contact,EBML | Contact Us,https://ebml.gov.lb/contactus.php?lang=en&lang=en,1713;+961 1 386 760,info@ebml.gov.lb,fname|Name*|text;lname|Family Name*|text;phone|Phone Number*|text;address|Address*|text;country|Country*|text;gender|Gender*|text;email|Email*|text;message|Your Message;submit|submit;email|Email Address|text;full_name|Full Name|text;title|Title|text;formid|hidden;location|hidden;t|hidden;act|hidden,2026-05-31,
WSCR-0006,NLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-NLWE-CONTACTAR,SRC-NLWE-CONTACT-AR,contact,contact-ar,https://eeln.gov.lb/contactar/,06/ 430 075;06 / 430 075;06/ 350 341;06/ 690 095;06/ 460 726;06/ 491 146;06/ 642 020;06/ 651 012;06/ 660 347;06/ 672 260,comms@eeln.gov.lb,s|search-field|بحث...|search;wpforms[fields][3]|wpforms-4584-field_3|text;wpforms[fields][1]|wpforms-4584-field_1|email;wpforms[fields][4]|wpforms-4584-field_4|text;wpforms[fields][2]|wpforms-4584-field_2;wpforms[id]|hidden;page_title|hidden;page_url|hidden;url_referer|hidden;page_id|hidden;wpforms[post_id]|hidden,2026-05-31,
WSCR-0007,NLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-NLWE-CONTACT,SRC-NLWE-CONTACT,contact,contact,https://eeln.gov.lb/en/contact/,06/ 430 075;06/ 350 341;06/ 690 095;06/ 460 726;06/ 491 146;06/ 642 020;06/ 651 012;06/ 660 347;06/ 672 260,comms@eeln.gov.lb,s|search-field|Search...|search;wpforms[fields][0]|wpforms-4357-field_0|Your Name|text;wpforms[fields][1]|wpforms-4357-field_1|Your E-mail|email;wpforms[fields][4]|wpforms-4357-field_4|Your Phone|number;wpforms[fields][2]|wpforms-4357-field_2|Your Message;wpforms[id]|hidden;page_title|hidden;page_url|hidden;url_referer|hidden;page_id|hidden;wpforms[post_id]|hidden,2026-05-31,
WSCR-0008,NLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-NLWE-EN-CONTACT,SRC-NLWE-CONTACT,contact,contact,https://eeln.gov.lb/en/contact/,06/ 430 075;06/ 350 341;06/ 690 095;06/ 460 726;06/ 491 146;06/ 642 020;06/ 651 012;06/ 660 347;06/ 672 260,comms@eeln.gov.lb,s|search-field|Search...|search;wpforms[fields][0]|wpforms-4357-field_0|Your Name|text;wpforms[fields][1]|wpforms-4357-field_1|Your E-mail|email;wpforms[fields][4]|wpforms-4357-field_4|Your Phone|number;wpforms[fields][2]|wpforms-4357-field_2|Your Message;wpforms[id]|hidden;page_title|hidden;page_url|hidden;url_referer|hidden;page_id|hidden;wpforms[post_id]|hidden,2026-05-31,
WSCR-0009,NLWE,already_registered,85,kind=contact;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-NLWE-EN-CONTACT,SRC-NLWE-CONTACT,contact,contact,https://eeln.gov.lb/en/contact/,06/ 430 075;06/ 350 341;06/ 690 095;06/ 460 726;06/ 491 146;06/ 642 020;06/ 651 012;06/ 660 347;06/ 672 260,comms@eeln.gov.lb,s|search-field|Search...|search;wpforms[fields][0]|wpforms-4357-field_0|Your Name|text;wpforms[fields][1]|wpforms-4357-field_1|Your E-mail|email;wpforms[fields][4]|wpforms-4357-field_4|Your Phone|number;wpforms[fields][2]|wpforms-4357-field_2|Your Message;wpforms[id]|hidden;page_title|hidden;page_url|hidden;url_referer|hidden;page_id|hidden;wpforms[post_id]|hidden,2026-05-31,
WSCR-0010,SLWE,already_registered,85,kind=billing_or_payment;has_meaningful_form_fields;has_contextual_phone;has_email,SRC-SLWE-PAYAPI-ENTER-CUSTOMER-NO-PHP,SRC-SLWE-EPAYMENT,billing_or_payment,إدخال الرقم الآلي,https://slwe.gov.lb/payapi/enter_customer_no.php,1785,info@slwe.gov.lb,customer_no|مثال: 123456|text;service_center,2026-05-31,
